ID	name	C	H	O	N	P	cas	experimental_enthalpy
129	Triethoxymethane	7	16	3	0	0	108055-42-1	-150.7
130	Pentane--2-4-dimethyl-	7	16	0	0	0	108-08-7	-48.3
131	Methyl-isobutyl-ketone	6	12	1	0	0	108-10-1	-69.6
132	_2-Pentanol--4-methyl-	6	14	1	0	0	108-11-2	-82.24
133	Propanediamide	3	6	2	2	0	108-13-4	-99.52
134	_2-Propanamine--N--1-methylethyl--	6	15	0	1	0	108-18-9	-32.58
135	Imidodicarbonic-diamide	2	5	2	3	0	108-19-0	-104.4
136	Acetic-acid--1-methylethyl-ester	5	10	2	0	0	108-21-4	-117
137	_2-3H--Furanone--dihydro-5-methyl-	5	8	2	0	0	108-29-2	-97.16
138	_2-5-Furandione--dihydro-	4	4	3	0	0	108-30-5	-126.2
139	Propylene-carbonate	4	6	3	0	0	108-32-7	-134.7
140	Benzene--1-3-dimethyl-	8	10	0	0	0	108-38-3	4.12
141	Phenol--3-methyl-	7	8	1	0	0	108-39-4	-31.94
142	Benzenamine--3-methyl-	7	9	0	1	0	108-44-1	14.6
143	Resorcinol	6	6	2	0	0	108-46-3	-68.04
144	Pyridine--2-6-dimethyl-	7	9	0	1	0	108-48-5	14
145	_2H-Pyran-2-6-3H--dione--dihydro-	5	6	3	0	0	108-55-4	-127.2
146	Propanedioic-acid--dimethyl-ester	5	8	4	0	0	108-59-8	-176.35
147	Butanoic-acid--3-methyl---ethyl-ester	7	14	2	0	0	108-64-5	-126
148	Phenol--3-5-dimethyl-	8	10	1	0	0	108-68-9	-38.63
149	_1-3-5-Benzenetriol	6	6	3	0	0	108-73-6	-108.2
150	_1-3-5-Triazine-2-4-6-1H-3H-5H--trione	3	3	3	3	0	108-80-5	-134.81
151	_4-Heptanone--2-6-dimethyl-	9	18	1	0	0	108-83-8	-85.49
152	Cyclohexane--methyl-	7	14	0	0	0	108-87-2	-36.99
153	Toluene	7	8	0	0	0	108-88-3	12
154	Pyridine--4-methyl-	6	7	0	1	0	108-89-4	24.8
155	Cyclohexanamine	6	13	0	1	0	108-91-8	-23.6
156	Cyclohexanol	6	12	1	0	0	108-93-0	-69
157	Cyclohexanone	6	10	1	0	0	108-94-1	-55.23
158	Phenol	6	6	1	0	0	108-95-2	-23.03
159	Pyridine--3-methyl-	6	7	0	1	0	108-99-6	24.76
160	_3-Pyridinol	5	5	1	1	0	109-00-2	-10.4
161	_2-Methylpiperidine	6	13	0	1	0	109-05-7	-20.19
162	Pyridine--2-methyl-	6	7	0	1	0	109-06-8	-6.33
163	Pentanoic-acid	5	10	2	0	0	109-52-4	-117
164	_1-3-Propanediamine--N-N-dimethyl-	5	14	0	2	0	109-55-7	-8.29
165	Pentane	5	12	0	0	0	109-66-0	-35.08
166	_1-Pentene	5	10	0	0	0	109-67-1	-5
167	_1-Butanamine	4	11	0	1	0	109-73-9	-22.7
168	Butanenitrile	4	7	0	1	0	109-74-0	7.45
169	_3-Butenenitrile	4	5	0	1	0	109-75-1	37.7
170	Malononitrile	3	2	0	2	0	109-77-3	63.64
171	Ethanol--2-methoxy-	3	8	2	0	0	109-86-4	-90.1
172	Methane--dimethoxy-	3	8	2	0	0	109-87-5	-83.21
173	Ethanamine--N-ethyl-	4	11	0	1	0	109-89-7	-23.9
174	Ethene--ethoxy-	4	8	1	0	0	109-92-2	-33.5
175	Vinyl-ether	4	6	1	0	0	109-93-3	-3.03
176	Formic-acid--ethyl-ester	3	6	2	0	0	109-94-4	-86.45
177	Nitrous-acid--ethyl-ester	2	5	2	1	0	109-95-5	-25.9
178	Pyrrole	4	5	0	1	0	109-97-7	34.23
179	Furan--tetrahydro-	4	8	1	0	0	109-99-9	-44.03
180	Furan	4	4	1	0	0	110-00-9	-6.62
181	Di-tert-butyl-peroxide	8	18	2	0	0	110-05-4	-81.45
182	Decanoic-acid--ethyl-ester	12	24	2	0	0	110-38-3	-146.3
183	Ethanol--2-methoxy---acetate	5	10	3	0	0	110-49-6	-136.9
184	Hexane	6	14	0	0	0	110-54-3	-39.94
185	Pentanenitrile	5	9	0	1	0	110-59-8	2.65
186	Succinonitrile	4	4	0	2	0	110-61-2	50.11
187	_1-4-Butanediol	4	10	2	0	0	110-63-4	-101.8
188	_1-Butanamine--N-methyl-	5	13	0	1	0	110-68-9	-25.9
189	Ethane--1-2-dimethoxy-	4	10	2	0	0	110-71-4	-81.9
190	Cyclohexane	6	12	0	0	0	110-82-7	-29.78
191	Cyclohexene	6	10	0	0	0	110-83-8	-1.03
192	Piperazine	4	10	0	2	0	110-85-0	6
193	Pyridine	5	5	0	1	0	110-86-1	33.5
194	_2H-Pyran--3-4-dihydro-	5	8	1	0	0	110-87-2	-26.96
195	_1-3-5-Trioxane	3	6	3	0	0	110-88-3	-111.32
196	Piperidine	5	11	0	1	0	110-89-4	-11.27
197	_5-Hepten-2-one--6-methyl-	8	14	1	0	0	110-93-0	-60.1
198	_1-Propanamine--2-methyl-N--2-methylpropyl--	8	19	0	1	0	110-96-3	-43.21
199	_2-Octanone	8	16	1	0	0	111-13-7	-82.47
200	Heptanoic-acid	7	14	2	0	0	111-14-8	-128.2
201	_1-Hexanamine	6	15	0	1	0	111-26-2	-46.34
